iter	Logloss
0	0.5972343377
1	0.5259862314
2	0.4712064729
3	0.427809874
4	0.3929786271
5	0.3647265937
6	0.3416350675
7	0.3223978528
8	0.3066226016
9	0.2932985091
10	0.2820907382
11	0.2727171723
12	0.2647240362
13	0.2581406455
14	0.2524079403
15	0.2473133798
16	0.243124142
17	0.2395506647
18	0.2363487478
19	0.2335291207
20	0.2310212433
21	0.2289512265
22	0.2271702708
23	0.2254627077
24	0.224036931
25	0.2227578284
26	0.2214648802
27	0.2202504403
28	0.2194273329
29	0.2185830832
30	0.2176286312
31	0.2168819401
32	0.2162291135
33	0.2154035513
34	0.2148474654
35	0.2142216646
36	0.2136793724
37	0.2132941002
38	0.2129281356
39	0.2122926797
40	0.2118452898
41	0.211380125
42	0.2109612937
43	0.210500925
44	0.2100812539
45	0.2096889762
46	0.209455839
47	0.2089686768
48	0.208607784
49	0.2082278461
50	0.2079885129
51	0.2077175899
52	0.2073936759
53	0.2071008602
54	0.2068627013
55	0.2066009196
56	0.2063772691
57	0.2061456603
58	0.2059197607
59	0.2055827756
60	0.2054704116
61	0.2052274382
62	0.2049931068
63	0.2048450323
64	0.2046378277
65	0.2043293641
66	0.204091393
67	0.2039256621
68	0.2037600355
69	0.2035820106
70	0.2033943045
71	0.2031853498
72	0.2029343493
73	0.2027224632
74	0.2026320933
75	0.2024933794
76	0.2023166303
77	0.2021395693
78	0.2019658406
79	0.2016823716
80	0.2015449923
81	0.2014087729
82	0.201241824
83	0.2011538597
84	0.2010878933
85	0.2008807941
86	0.2007316362
87	0.2006110338
88	0.2005121747
89	0.200352106
90	0.2002115472
91	0.2000864752
92	0.1999454267
93	0.199825245
94	0.1997374483
95	0.1995849216
96	0.1994405185
97	0.199328316
98	0.199206631
99	0.1990635329
100	0.1989419075
101	0.1988439894
102	0.1987771501
103	0.1986846806
104	0.1985290936
105	0.1984289251
