iter	Passed	Remaining
0	160	16865
1	276	14353
2	394	13540
3	512	13072
4	632	12777
5	752	12547
6	869	12303
7	986	12081
8	1122	12100
9	1242	11929
10	1361	11759
11	1478	11582
12	1596	11422
13	1718	11291
14	1844	11192
15	1964	11048
16	2083	10908
17	2205	10784
18	2323	10639
19	2440	10493
20	2558	10354
21	2692	10281
22	2816	10163
23	2952	10088
24	3097	10036
25	3243	9980
26	3375	9876
27	3511	9780
28	3652	9698
29	3789	9600
30	3912	9466
31	4065	9401
32	4211	9317
33	4345	9202
34	4475	9079
35	4610	8965
36	4755	8867
37	4894	8758
38	5038	8656
39	5155	8506
40	5273	8360
41	5409	8243
42	5543	8122
43	5679	8003
44	5797	7858
45	5933	7739
46	6062	7610
47	6183	7471
48	6322	7354
49	6453	7227
50	6576	7092
51	6701	6958
52	6842	6842
53	6966	6708
54	7107	6590
55	7257	6479
56	7387	6350
57	7516	6220
58	7637	6084
59	7770	5957
60	7918	5841
61	8053	5715
62	8170	5576
63	8304	5449
64	8432	5319
65	8552	5183
66	8668	5045
67	8801	4918
68	8915	4780
69	9041	4650
70	9176	4523
71	9317	4399
72	9437	4266
73	9565	4136
74	9703	4010
75	9829	3880
76	9957	3750
77	10103	3626
78	10221	3493
79	10336	3359
80	10511	3244
81	10643	3115
82	10772	2985
83	10906	2856
84	11048	2729
85	11185	2601
86	11309	2469
87	11422	2336
88	11559	2207
89	11686	2077
90	11810	1946
91	11945	1817
92	12064	1686
93	12197	1557
94	12333	1428
95	12465	1298
96	12597	1168
97	12715	1038
98	12837	907
99	12952	777
100	13070	647
101	13202	517
102	13326	388
103	13471	259
104	13591	129
105	13725	0
